household_id,week,category,quantity,price,savings_post
7,0,0,82.0,1.0,0.029714225430514246
3,0,0,82.0,1.02,0.006523195909725853
2,0,0,82.0,1.0404,0.010781175645306007
8,0,0,82.0,1.061208,0.00307836313399331
5,0,0,82.0,1.08243216,0.001700930709458398
9,0,0,82.0,1.1040808032,0.03307592296543124
4,0,0,82.0,1.126162419264,0.004353470628446432
0,0,0,82.0,1.14868566764928,0.017726390310074308
1,0,0,82.0,1.1716593810022657,0.016736707235433995
7,0,0,82.0,1.195092568622311,0.029714225430514246
3,0,0,82.0,1.2189944199947573,0.006523195909725853
2,0,0,14.0,1.2433743083946525,0.010781175645306007
3,0,1,247.0,1.0,0.006523195909725853
5,0,1,247.0,1.02,0.001700930709458398
2,0,1,247.0,1.0404,0.010781175645306007
4,0,1,247.0,1.061208,0.004353470628446432
1,0,1,247.0,1.08243216,0.016736707235433995
8,0,1,247.0,1.1040808032,0.00307836313399331
7,0,1,247.0,1.126162419264,0.029714225430514246
0,0,1,247.0,1.14868566764928,0.017726390310074308
9,0,1,247.0,1.1716593810022657,0.03307592296543124
3,0,1,217.0,1.195092568622311,0.006523195909725853
5,0,1,24.0,1.2189944199947573,0.001700930709458398
7,0,2,54.0,1.0,0.029714225430514246
5,0,2,54.0,1.02,0.001700930709458398
0,0,2,54.0,1.0404,0.017726390310074308
2,0,2,54.0,1.061208,0.010781175645306007
4,0,2,54.0,1.08243216,0.004353470628446432
9,0,2,54.0,1.1040808032,0.03307592296543124
1,0,2,54.0,1.126162419264,0.016736707235433995
8,0,2,54.0,1.091251384266816,0.00307836313399331
7,0,2,54.0,1.1130764119521521,0.029714225430514246
5,0,2,54.0,1.1353379401911952,0.001700930709458398
0,0,2,53.0,1.158044698995019,0.017726390310074308
7,0,3,117.0,1.0,0.029714225430514246
8,0,3,164.0,1.02,0.00307836313399331
0,0,3,164.0,0.9883799999999999,0.017726390310074308
2,0,3,164.0,1.0081476,0.010781175645306007
9,0,3,164.0,1.028310552,0.03307592296543124
1,0,3,164.0,1.04887676304,0.016736707235433995
